"id_penjualan","id_invoice","tanggal","id_customer","id_barang","jumlah_barang","harga","nama_customer","id_cabang_sales","cabang_sales","grup","produk","kemasan","nama_tipe","kode_lini","lini","total_sales"
IN6290-BRG0003,IN6290,2022-03-22,CUST55592,BRG0003,67.0,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,716270.20
IN6191-BRG0003,IN6191,2022-01-31,CUST55422,BRG0003,4.0,10690.60,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,42762.40
IN5980-BRG0003,IN5980,2022-01-23,CUST55432,BRG0003,20.0,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,213812.00
IN6254-BRG0005,IN6254,2022-02-02,CUST55544,BRG0005,12.493006993007,5648.30,KLINIK DR. ANDRI,CAB08,Lampung,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,70564.25
IN6031-BRG0001,IN6031,2022-04-15,CUST55616,BRG0001,4.0,4592.10,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,18368.40
IN6255-BRG0007,IN6255,2022-01-31,CUST55446,BRG0007,21.8916083916084,4592.10,APOTEK SAHABAT,CAB07,Padang,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,100528.45
IN5987-BRG0010,IN5987,2022-04-19,CUST55659,BRG0010,13.6678321678322,6940.30,KLINIK GM,CAB03,Jakarta,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,94858.86
IN6005-BRG0008,IN6005,2022-02-01,CUST55447,BRG0008,12.493006993007,3991.90,APOTEK TAPAK,CAB01,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,49870.83
IN6297-BRG0002,IN6297,2022-01-20,CUST55381,BRG0002,5.0,2337.50,APOTEK MAJA,CAB02,Kuningan,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,11687.50
IN6110-BRG0007,IN6110,2022-03-06,CUST55576,BRG0007,9.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,41328.90
IN6197-BRG0001,IN6197,2022-04-29,CUST55630,BRG0001,34.0,1169.91,APOTEK MERDEKA,CAB04,Bandung,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,39776.94
IN6220-BRG0005,IN6220,2022-01-23,CUST55444,BRG0005,48.0,5648.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,271118.40
IN6160-BRG0003,IN6160,2022-05-27,CUST55672,BRG0003,5.0,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,53453.00
IN6249-BRG0004,IN6249,2022-04-30,CUST55703,BRG0004,25.0,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,217517.50
IN6122-BRG0006,IN6122,2022-01-30,CUST55445,BRG0006,21.3041958041958,2819.20,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,60060.79
IN6187-BRG0007,IN6187,2022-04-05,CUST55606,BRG0007,25.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,114802.50
IN6203-BRG0005,IN6203,2022-01-31,CUST55524,BRG0005,100.0,5648.30,KLINIK GM,CAB03,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,564830.00
IN6154-BRG0002,IN6154,2022-04-19,CUST55641,BRG0002,12.493006993007,2337.50,APOTEK SAHABAT,CAB07,Padang,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,29202.40
IN6082-BRG0002,IN6082,2022-04-16,CUST55617,BRG0002,8.0,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,31935.20
IN6103-BRG0001,IN6103,2022-01-27,CUST55496,BRG0001,15.4300699300699,4592.10,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,70856.42
IN6071-BRG0007,IN6071,2022-04-27,CUST55636,BRG0007,95.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,436249.50
IN6210-BRG0007,IN6210,2022-01-23,CUST55486,BRG0007,4.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,18368.40
IN6282-BRG0004,IN6282,2022-05-28,CUST55673,BRG0004,9.0,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,78306.30
IN6194-BRG0009,IN6194,2022-04-18,CUST55658,BRG0009,25.0,5780.70,APOTEK MAJA,CAB02,Kuningan,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,144517.50
IN6221-BRG0005,IN6221,2022-01-23,CUST55504,BRG0005,25.0,5648.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,141207.50
IN6171-BRG0006,IN6171,2022-02-03,CUST55545,BRG0006,25.0,2819.20,APOTEK TAPAK,CAB01,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,70480.00
IN6141-BRG0002,IN6141,2022-01-28,CUST55401,BRG0002,25.0,2337.50,APOTEK SAHABAT,CAB07,Padang,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,58437.50
IN5988-BRG0002,IN5988,2022-02-09,CUST55551,BRG0002,10.0,2337.50,APOTEK SAHABAT,CAB07,Padang,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,23375.00
IN6140-BRG0006,IN6140,2022-03-25,CUST55595,BRG0006,25.0,2819.20,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,70480.00
IN6067-BRG0005,IN6067,2022-05-01,CUST55704,BRG0005,13.6678321678322,5648.30,KLINIK GM,CAB03,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,77200.02
IN6315-BRG0004,IN6315,2022-04-21,CUST55643,BRG0004,13.6678321678322,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,118919.71
IN6174-BRG0003,IN6174,2022-04-17,CUST55618,BRG0003,9.0,5780.70,APOTEK SAHABAT,CAB07,Padang,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,52026.30
IN6305-BRG0004,IN6305,2022-01-30,CUST55493,BRG0004,13.6678321678322,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,118919.71
IN6286-BRG0003,IN6286,2022-01-23,CUST55468,BRG0003,120.0,5780.70,APOTEK SAHABAT,CAB07,Padang,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,693684.00
IN6025-BRG0004,IN6025,2022-01-30,CUST55523,BRG0004,7.0,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,60904.90
IN6206-BRG0003,IN6206,2022-03-12,CUST55582,BRG0003,23.0,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,245883.80
IN6068-BRG0007,IN6068,2022-01-31,CUST55536,BRG0007,6.0,4592.10,APOTEK SAHABAT,CAB07,Padang,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,27552.60
IN6268-BRG0003,IN6268,2022-06-16,CUST55692,BRG0003,25.0,10690.60,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,267265.00
IN6083-BRG0008,IN6083,2022-01-30,CUST55487,BRG0008,2.0,3991.90,KLINIK GM,CAB03,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,7983.80
IN6146-BRG0003,IN6146,2022-01-27,CUST55412,BRG0003,25.0,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,267265.00
IN6260-BRG0005,IN6260,2022-02-22,CUST55564,BRG0005,10.0,5648.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,56483.00
IN6079-BRG0005,IN6079,2022-01-31,CUST55494,BRG0005,34.0,5648.30,KLINIK GM,CAB03,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,192042.20
IN6053-BRG0002,IN6053,2022-01-28,CUST55437,BRG0002,44.0,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,175643.60
IN5997-BRG0001,IN5997,2022-01-20,CUST55380,BRG0001,1.0,1169.91,APOTEK TAPAK,CAB01,Aceh,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,1169.91
IN6225-BRG0002,IN6225,2022-04-30,CUST55631,BRG0002,44.0,2337.50,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,102850.00
IN6166-BRG0006,IN6166,2022-05-30,CUST55675,BRG0006,1.0,2819.20,APOTEK MERDEKA,CAB04,Bandung,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,2819.20
IN6011-BRG0008,IN6011,2022-02-25,CUST55567,BRG0008,10.0,3991.90,APOTEK TAPAK,CAB01,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,39919.00
IN6201-BRG0009,IN6201,2022-05-23,CUST55668,BRG0009,4.0,5780.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,23122.80
IN6095-BRG0009,IN6095,2022-01-27,CUST55478,BRG0009,5.0,5780.70,APOTEK MAJA,CAB02,Kuningan,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,28903.50
IN6104-BRG0004,IN6104,2022-01-30,CUST55433,BRG0004,45.0,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,391531.50
IN6270-BRG0007,IN6270,2022-05-03,CUST55696,BRG0007,18.9545454545454,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,87041.17
IN6133-BRG0010,IN6133,2022-02-01,CUST55429,BRG0010,78.0,6940.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,541343.40
IN6196-BRG0001,IN6196,2022-01-31,CUST55530,BRG0001,45.0,1169.91,APOTEK TAPAK,CAB01,Aceh,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,52645.95
IN6248-BRG0008,IN6248,2022-01-30,CUST55427,BRG0008,100.0,3991.90,KLINIK GM,CAB03,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,399190.00
IN6115-BRG0007,IN6115,2022-05-03,CUST55716,BRG0007,10.0,4592.10,APOTEK SAHABAT,CAB07,Padang,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,45921.00
IN6292-BRG0002,IN6292,2022-01-28,CUST55467,BRG0002,10.0,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,39919.00
IN6217-BRG0003,IN6217,2022-01-23,CUST55438,BRG0003,5.0,5780.70,APOTEK SAHABAT,CAB07,Padang,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,28903.50
IN6047-BRG0006,IN6047,2022-04-26,CUST55635,BRG0006,12.0,2819.20,APOTEK TAPAK,CAB01,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,33830.40
IN6081-BRG0004,IN6081,2022-03-19,CUST55589,BRG0004,25.0,6940.30,KLINIK DR. ANDRI,CAB08,Lampung,Klinik,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,173507.50
IN6246-BRG0004,IN6246,2022-01-28,CUST55533,BRG0004,34.0,8700.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,295823.80
IN6114-BRG0010,IN6114,2022-02-27,CUST55569,BRG0010,98.0,6940.30,KLINIK GM,CAB03,Jakarta,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,680149.40
IN6017-BRG0004,IN6017,2022-02-01,CUST55513,BRG0004,23.0,8700.70,APOTEK SAHABAT,CAB07,Padang,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,200116.10
IN6215-BRG0001,IN6215,2022-01-23,CUST55510,BRG0001,13.6678321678322,1169.91,APOTEK MERDEKA,CAB04,Bandung,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,15990.13
IN6193-BRG0003,IN6193,2022-03-18,CUST55588,BRG0003,12.493006993007,5780.70,APOTEK SAHABAT,CAB07,Padang,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,72218.33
IN6200-BRG0004,IN6200,2022-01-28,CUST55473,BRG0004,5.0,8700.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,43503.50
IN6124-BRG0003,IN6124,2022-01-27,CUST55442,BRG0003,95.0,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,1015607.00
IN6043-BRG0001,IN6043,2022-03-10,CUST55580,BRG0001,9.0,1169.91,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,10529.19
IN6172-BRG0002,IN6172,2022-01-28,CUST55497,BRG0002,12.493006993007,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,49870.83
IN6155-BRG0003,IN6155,2022-01-21,CUST55382,BRG0003,9.0,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,96215.40
IN6009-BRG0008,IN6009,2022-04-28,CUST55637,BRG0008,76.0,3991.90,KLINIK GM,CAB03,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,303384.40
IN6219-BRG0001,IN6219,2022-01-27,CUST55436,BRG0001,34.0,4592.10,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,156131.40
IN6028-BRG0001,IN6028,2022-01-23,CUST55420,BRG0001,98.0,1169.91,APOTEK MERDEKA,CAB04,Bandung,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,114651.18
IN6116-BRG0006,IN6116,2022-01-28,CUST55455,BRG0006,67.0,2819.20,APOTEK TAPAK,CAB01,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,188886.40
IN6066-BRG0009,IN6066,2022-01-27,CUST55538,BRG0009,12.0,5780.70,APOTEK MAJA,CAB02,Kuningan,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,69368.40
IN6145-BRG0003,IN6145,2022-04-20,CUST55642,BRG0003,25.0,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,267265.00
IN6156-BRG0009,IN6156,2022-04-07,CUST55608,BRG0009,24.2412587412587,5780.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,140131.44
IN6204-BRG0008,IN6204,2022-06-16,CUST55727,BRG0008,34.0,3991.90,KLINIK GM,CAB03,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,135724.60
IN6252-BRG0004,IN6252,2022-05-18,CUST55649,BRG0004,67.0,6940.30,KLINIK DR. ANDRI,CAB08,Lampung,Klinik,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,465000.10
IN6075-BRG0009,IN6075,2022-04-16,CUST55638,BRG0009,48.0,5780.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,277473.60
IN5984-BRG0005,IN5984,2022-05-01,CUST55714,BRG0005,8.0,5648.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,45186.40
IN6256-BRG0004,IN6256,2022-01-30,CUST55463,BRG0004,12.493006993007,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,108697.91
IN6275-BRG0009,IN6275,2022-02-26,CUST55568,BRG0009,67.0,5780.70,APOTEK MAJA,CAB02,Kuningan,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,387306.90
IN6042-BRG0009,IN6042,2022-01-31,CUST55428,BRG0009,67.0,5780.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,387306.90
IN5991-BRG0005,IN5991,2022-01-23,CUST55414,BRG0005,24.2412587412587,5648.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,136921.90
IN6294-BRG0002,IN6294,2022-05-03,CUST55711,BRG0002,98.0,2337.50,APOTEK MAJA,CAB02,Kuningan,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,229075.00
IN6288-BRG0003,IN6288,2022-06-06,CUST55682,BRG0003,17.0,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,181740.20
IN6000-BRG0008,IN6000,2022-06-16,CUST55717,BRG0008,7.0,3991.90,APOTEK TAPAK,CAB01,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,27943.30
IN6143-BRG0006,IN6143,2022-05-02,CUST55705,BRG0006,24.2412587412587,2819.20,APOTEK MERDEKA,CAB04,Bandung,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,68340.96
IN6175-BRG0005,IN6175,2022-01-31,CUST55404,BRG0005,18.3671328671329,5648.30,KLINIK GM,CAB03,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,103743.08
IN6233-BRG0001,IN6233,2022-01-23,CUST55450,BRG0001,24.2412587412587,1169.91,APOTEK MERDEKA,CAB04,Bandung,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,28360.09
IN6123-BRG0008,IN6123,2022-06-16,CUST55697,BRG0008,12.493006993007,3991.90,KLINIK GM,CAB03,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,49870.83
IN6048-BRG0005,IN6048,2022-01-31,CUST55464,BRG0005,25.0,5648.30,KLINIK GM,CAB03,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,141207.50
IN6259-BRG0006,IN6259,2022-02-01,CUST55405,BRG0006,18.9545454545454,2819.20,APOTEK MERDEKA,CAB04,Bandung,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,53436.65
IN6045-BRG0007,IN6045,2022-01-31,CUST55506,BRG0007,21.3041958041958,4592.10,APOTEK SAHABAT,CAB07,Padang,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,97831.00
IN6007-BRG0006,IN6007,2022-05-02,CUST55715,BRG0006,9.0,2819.20,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,25372.80
IN6023-BRG0010,IN6023,2022-02-01,CUST55399,BRG0010,15.4300699300699,6940.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,107089.31
IN6181-BRG0010,IN6181,2022-02-07,CUST55549,BRG0010,130.0,6940.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,902239.00
IN6100-BRG0002,IN6100,2022-06-01,CUST55677,BRG0002,9.0,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,35927.10
IN6165-BRG0003,IN6165,2022-06-16,CUST55722,BRG0003,34.0,10690.60,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,363480.40
IN6213-BRG0002,IN6213,2022-05-03,CUST55701,BRG0002,21.8916083916084,2337.50,APOTEK SAHABAT,CAB07,Padang,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,51171.63
IN5990-BRG0001,IN5990,2022-05-03,CUST55706,BRG0001,10.0,4592.10,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,45921.00
IN6034-BRG0003,IN6034,2022-02-20,CUST55562,BRG0003,13.6678321678322,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,146117.33
IN6277-BRG0010,IN6277,2022-04-28,CUST55629,BRG0010,34.0,6940.30,KLINIK GM,CAB03,Jakarta,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,235970.20
IN6202-BRG0003,IN6202,2022-01-23,CUST55528,BRG0003,34.0,5780.70,APOTEK SAHABAT,CAB07,Padang,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,196543.80
IN6051-BRG0004,IN6051,2022-03-23,CUST55593,BRG0004,15.4300699300699,8700.70,APOTEK MERDEKA,CAB04,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,134252.41
IN6218-BRG0010,IN6218,2022-04-17,CUST55639,BRG0010,21.3041958041958,6940.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,147857.51
IN6112-BRG0007,IN6112,2022-05-03,CUST55726,BRG0007,34.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,156131.40
IN6151-BRG0001,IN6151,2022-05-02,CUST55720,BRG0001,78.0,1169.91,APOTEK MERDEKA,CAB04,Bandung,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,91252.98
IN6132-BRG0003,IN6132,2022-04-30,CUST55708,BRG0003,12.0,5780.70,APOTEK SAHABAT,CAB07,Padang,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,69368.40
IN6021-BRG0001,IN6021,2022-04-19,CUST55620,BRG0001,7.0,1169.91,APOTEK TAPAK,CAB01,Aceh,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,8189.37
IN6266-BRG0002,IN6266,2022-02-01,CUST55531,BRG0002,34.0,2337.50,APOTEK MAJA,CAB02,Kuningan,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,79475.00
IN5986-BRG0002,IN5986,2022-02-15,CUST55557,BRG0002,9.0,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,35927.10
IN6205-BRG0001,IN6205,2022-01-27,CUST55520,BRG0001,8.0,1169.91,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,9359.28
IN6073-BRG0009,IN6073,2022-04-27,CUST55628,BRG0009,34.0,5780.70,APOTEK MAJA,CAB02,Kuningan,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,196543.80
IN6138-BRG0002,IN6138,2022-04-18,CUST55661,BRG0002,10.0,2337.50,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,23375.00
IN6125-BRG0003,IN6125,2022-01-23,CUST55402,BRG0003,13.6678321678322,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,146117.33
